NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,SỐ TRACKING,SỐ ORDER,SỐ SẢN PHẨM,GHI CHÚ 1,GHI CHÚ 2
3/1/2022,DN1,ANHHOME,KIEHLS,1ZW8F7510392645335,,8,,
3/1/2022,DN1,ANHHOME,KIEHLS,1ZW8F7510328948129,,8,,
3/1/2022,DN1,BETUN,.,D10012995545630,,4,,
3/1/2022,DN1,SAMPHUC,KIEHLS,1ZW8F7510392640992,,8,,
3/1/2022,DN1,SAMPHUC,KIEHLS,1ZW8F7510303127026,,8,,
3/1/2022,DN1,LINHMON,.,560310435130,,1,,
3/1/2022,DN1,LAMANH,WALMART,C12132258372585,,15,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68980373598439,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z6A4Y720343835295,,2,,
3/1/2022,DN1,LIENHA,.,278400344053,,5,,VXMOTBANAMHAI
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350617253,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z6A4Y720343836016,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350616601,,2,,
3/1/2022,DN1,PHTHANG,BELK,289946141135,,5,,
3/1/2022,DN1,THAODAG,SEPHORA,1Z5R68920362684591,,3,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z6A4Y720343838550,,2,,
3/1/2022,DN1,PHTHANG,BELK,270064786133,,2,,
3/1/2022,DN1,PHTHANG,BELK,289953265402,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350616530,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300114611,,2,,
3/1/2022,DN1,THANHSHIMA,SEPHORA,C11800414579656,,5,,
3/1/2022,DN1,THANHSHIMA,SEPHORA,C11800319229588,,6,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R689Y0330688103,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R689Y0330688630,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300114906,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R689Y0330688434,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68980373598215,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300109841,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350616567,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300108726,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300113970,,2,,
3/1/2022,DN1,PHUONGNHAN,.,YW31650734,,3-thg 7,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z6A4Y720343835017,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R689Y0330688390,,2,,
3/1/2022,DN1,BETUN,WALMART,C12122001035141,,SEAL,,
3/1/2022,DN1,PHTHANG,BELK,99561236307809,,SEAL,,
3/1/2022,DN1,PHTHANG,BELK,99561236231333,,SEAL,,
3/1/2022,DN1,HIENLUONG,BELK,3508257621222,,SEAL,,
3/1/2022,DN1,SAMPHUC,.,561934114133,,1,,
3/1/2022,DN1,HIENDOLA,.,564740860406,,1,,
3/1/2022,DN1,THINHATVO,.,5498616117911,,1,LAP,
3/1/2022,DN1,THINHATVO,.,289793008821,,1,LAP,
3/1/2022,DN1,LIENHA,.,1Z8V78A0YW47513296,,2,,
3/1/2022,DN1,DUNGMARCO,.,1Z7V25450327320879,,3,,
3/1/2022,DN1,BETUN,WALMART,"4,80056E+15",,SEAL,,ĐƯA CSKH (T)
3/1/2022,DN1,PHUONGDAO,ASHFORD,1Z9XV641YW94922157,,2,DH,
3/1/2022,DN1,VIETWIND,.,569464656270,,1-thg 4,,
3/1/2022,DN1,CAMEHY,AMAZON,TBA006958880204,,SEAL,,
3/1/2022,DN1,CAMEHY,AMAZON,TBA004011008804,,SEAL,,
3/1/2022,DN1,TXGIANG,LACOSTE,1ZE98W21YW15405306,,2,,
3/1/2022,DN1,TXGIANG,LACOSTE,1ZE98W21YW25981148,,2,,
3/1/2022,DN1,LINHMON,.,1Z5XR8660261692933,,1,,
3/1/2022,DN1,TXGIANG,LACOSTE,1ZE98W21YW03470053,,1,,
3/1/2022,DN1,BINHBQ,NIKE,562776680960,,10,,
3/1/2022,DN2,BETUN,SEPHORA,C11800220983942,284709275,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800414494838,,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800319152755,,3,,
3/1/2022,DN2,BETUN,SEPHORA,C11800319154157,284697003,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800319153480,284682452,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800414492949,284683491,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800414495141,,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800319152961,,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800220984049,284679747,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800319153117,,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800220988710,,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800319152292,,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800220979842,284671615,16,,
3/1/2022,DN2,BETUN,SEPHORA,C11800121280562,,2,,
3/1/2022,DN2,BETUN,SEPHORA,C11800121289655,,8,,
3/1/2022,DN2,BETUN,MORPHE,1Z812WY6YW11859633,,7,,
3/1/2022,DN2,BETUN,MORPHE,C11800319157490,284706886,3,,
