NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,SỐ TRACKING,SỐ ORDER,SỐ SẢN PHẨM,GHI CHÚ 1,GHI CHÚ 2
3/1/2022,DN1,ANHHOME,KIEHLS,1ZW8F7510392645335,,8,,
3/1/2022,DN1,ANHHOME,KIEHLS,1ZW8F7510328948129,,8,,
3/1/2022,DN1,BETUN,.,D10012995545630,,4,,
3/1/2022,DN1,SAMPHUC,KIEHLS,1ZW8F7510392640992,,8,,
3/1/2022,DN1,SAMPHUC,KIEHLS,1ZW8F7510303127026,,8,,
3/1/2022,DN1,LINHMON,.,560310435130,,1,,
3/1/2022,DN1,LAMANH,WALMART,C12132258372585,,15,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68980373598439,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z6A4Y720343835295,,2,,
3/1/2022,DN1,LIENHA,.,278400344053,,5,,VXMOTBANAMHAI
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350617253,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z6A4Y720343836016,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350616601,,2,,
3/1/2022,DN1,PHTHANG,BELK,289946141135,,5,,
3/1/2022,DN1,THAODAG,SEPHORA,1Z5R68920362684591,,3,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z6A4Y720343838550,,2,,
3/1/2022,DN1,PHTHANG,BELK,270064786133,,2,,
3/1/2022,DN1,PHTHANG,BELK,289953265402,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350616530,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300114611,,2,,
3/1/2022,DN1,THANHSHIMA,SEPHORA,C11800414579656,,5,,
3/1/2022,DN1,THANHSHIMA,SEPHORA,C11800319229588,,6,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R689Y0330688103,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R689Y0330688630,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300114906,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R689Y0330688434,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68980373598215,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300109841,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1Z5R68990350616567,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300108726,,2,,
3/1/2022,DN1,LIENHA,SEPHORA,1ZX46F000300113970,,2,,
