NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,S? TRACKING,S? ORDER,S? S?N PH?M,GHI CHÚ 1,GHI CHÚ 2
4/21/2022,AH1,ANDYDUNG,ASOS,T00KMA0261676074,,SEAL,,
4/21/2022,AH1,ANDYDUNG,ASOS,T00KMA0261653747,,SEAL,,
4/21/2022,AH1,ANDYDUNG,ASOS,T00KMA0261758648,,SEAL,,
4/21/2022,AH7,ANDYDUNG,ASOS,T00KMA0263472909,,SEAL,,
4/21/2022,AH7,ANDYDUNG,ASOS,T00KMA0263613264,,SEAL,,
4/21/2022,LX1,ANNHIEN,.,15503691399406,,3,3 VO,
4/21/2022,AH1,ANNHIEN,SPORTS,T0047A0097223376,,SEAL,,
4/21/2022,AH1,ANNHIEN,SPORTS,T0047A0097457612,,SEAL,,
4/21/2022,AH2,AR,MATALAN,T001PA0029927234,,SEAL,,
4/21/2022,AH2,AR ALAN ,MATALAN,T001PA0029837586,,SEAL,,
4/21/2022,AH19,AR BAHOAPHONG,.,H0067A0061701667,,SEAL,,
4/21/2022,AH10,AR HTNGHOAIPHUONG,GEORGE,T00IKA0024672972,,SEAL,,
4/21/2022,AH4,AR HTNGOCHUYEN,GEORGE,T00IKA0024508317,,SEAL,,
4/21/2022,AH10,AR HTNGOCHUYEN,GEORGE,T00IKA0024569339,,SEAL,,
4/21/2022,AH4,AR HTNGUYENTHIBICHHONG,GEORGE,T00IKA0024596071,,SEAL,,
4/21/2022,AH6,AR HTNGUYENTHIBICHHONG,ADIDAS,15505453156526,,1,,
4/21/2022,AH9,AR HTNGUYENTHIBICHHONG,ADIDAS,15505453157636,,SEAL,,
4/21/2022,AH17,AR HTNTTHANHHUYEN,.,1ZW7V3166899755849,,1,,
4/21/2022,AH19,AR HTNTTHANHHUYEN,.,31454641254701,,2,,
4/21/2022,AH9,AR HTPNGOCTRANG,ADIDAS,15505169145115,,5,,
4/21/2022,AH9,AR HTPNGOCTRANG,ADIDAS,15505169145301,,SEAL,,
4/21/2022,AH10,AR HTPNGOCTRANG,GEORGE,T00IKA0024629945,,SEAL,,
4/21/2022,AH2,AR MANHCUONG,NEXT,T002VA0557026969,,SEAL,,
4/21/2022,AH2,AR MANHCUONG,NEXT,T002VA0558361275,,SEAL,,
4/21/2022,AH2,AR MANHCUONG,NEXT,T002VA0559721650,,SEAL,,
4/21/2022,AH2,AR MANHCUONG,NEXT,T002VA0559622092,,SEAL,,
4/21/2022,AH2,AR MANHCUONG,NEXT,T002VA0558499125,,SEAL,,
4/21/2022,AH2,AR MANHCUONG,NEXT,T002VA0557026957,,SEAL,,
4/21/2022,AH4,AR MANHCUONG,NEXT,T002VA0560572668,,SEAL,,
4/21/2022,AH4,AR MANHCUONG,NEXT,T002VA0557564286,,SEAL,,
4/21/2022,AH4,AR MANHCUONG,NEXT,T002VA0557355459,,SEAL,,
4/21/2022,AH9,AR MANHCUONG,NEXT,T002VA0561514186,,1,,
4/21/2022,AH10,AR MANHCUONG,NEXT,T002VA0559622080,,SEAL,,
4/21/2022,AH10,AR MANHCUONG,NEXT,T002VA0559622078,,SEAL,,
4/21/2022,AH17,AR MANHCUONG,NEXT,T002VA0563621957,,SEAL,,
4/21/2022,AH18,AR MANHCUONG,NEXT,T002VA0564036363,,SEAL,,
4/21/2022,AH2,AR MINHCHIE,NEXT,T002VA0558444346,,SEAL,,
4/21/2022,AH4,AR MINHCHIE,GEORGE,15503027028072,,SEAL,,
4/21/2022,AH4,AR MINHCHIE,GEORGE,T00IKA0024475176,,SEAL,,
4/21/2022,AH6,AR MINHCHIE,GEORGE,JJD0002249601585918,,SEAL,,
4/21/2022,AH9,AR MINHCHIE,GEORGE,T00IKA0024668858,,SEAL,,
4/21/2022,AH10,AR MINHCHIE,GEORGE,T00IKA0024677554,,SEAL,,
4/21/2022,AH18,AR MINHCHIE,NEXT,T002VA0563474853,,SEAL,,
4/21/2022,AH19,AR MINHCHIE,.,JJD0002249601586068,,46,,
4/21/2022,AH4,AR MTBICHNGA,ASOS,T00KMA0260729583,,SEAL,,
4/21/2022,AH4,AR MTBICHNGA,ASOS,T00B8A0091952340,,3,,
4/21/2022,AH6,AR MTBICHNGA,ASOS,JJD0002219830735081,,12,,
4/21/2022,AH10,AR MTBICHNGA,ASOS,T00KMA0262516089,,SEAL,,
4/21/2022,AH10,AR MTBICHNGA,DOROTHY,SM050799331GB,,SEAL,,
4/21/2022,AH10,AR MTBICHNGA,ASOS,T00B8A0092586041,,4,,
4/21/2022,AH10,AR MTBICHNGA,DOROTHY,SM050806576GB,,SEAL,,
4/21/2022,AH10,AR MTBICHNGA,DOROTHY,TA895545373GB,,SEAL,,
4/21/2022,AH17,AR MTBICHNGA,.,TA895568357GB,,SEAL,,
4/21/2022,AH17,AR MTBICHNGA,ASOS,T00B8A0092941348,,SEAL,,
4/21/2022,AH18,AR MTBICHNGA,DOROTHY,SM050836428GB,,SEAL,,
4/21/2022,AH18,AR MTBICHNGA,ASOS,T00KMA0264273756,,SEAL,,
4/21/2022,AH10,AR MTNGUYENTRANG,GEORGE,T00IKA0024683420,,SEAL,,
4/21/2022,AH10,AR MTTHAOLINH,AMAZON,AY713943665GB,,SEAL,,
4/21/2022,AH13,AR MTTRANVU,.,41747270156387,,SEAL,,
4/21/2022,AH2,AR MTVANNGUYEN,GEORGE,T00IKA0024463094,,SEAL,,
4/21/2022,AH4,AR MTVANNGUYEN,GEORGE,T00IKA0024596944,,SEAL,,
4/21/2022,AH4,AR MTVANNGUYEN,GEORGE,T00IKA0024384185,,SEAL,,
4/21/2022,AH10,AR MTVANNGUYEN,GEORGE,T00IKA0024625997,,SEAL,,
4/21/2022,AH17,AR MTVANNGUYEN,GEORGE,T00IKA0024734001,,SEAL,,
4/21/2022,AH18,AR MTVANNGUYEN,GEORGE,155030270282395,,SEAL,,
4/21/2022,AH18,AR MTVANNGUYEN,GEORGE,15504742526605,,SEAL,,
