NGÀY SCAN,STT,SỐ TRACKING,GHI CHÚ
08/01/2022,1,15505169074626,
08/01/2022,2,%0SE83PR15502018531329812826,
08/01/2022,3,%0SE83PR15501857275478832826,
08/01/2022,4,15505169074633,
08/01/2022,5,15505169073501,
08/01/2022,6,%0SE83PR15502037928805812826,
08/01/2022,7,%0SE83PR15502037928636812826,
08/01/2022,8,%0SE83PR15501857248748832826,
08/01/2022,9,MA335972129GB,
08/01/2022,10,T00IKA0015957824,
08/01/2022,11,MA033149662GB,
08/01/2022,12,MA033162876GB,
08/01/2022,13,MD187475005GB,
08/01/2022,14,T00BIA0010755666,
08/01/2022,15,T00BIA0010689881,
08/01/2022,16,T00KMA0167670724,
08/01/2022,17,T00KMA0168188366,
08/01/2022,18,T00D4A1508241230,
08/01/2022,19,WU957270781GB,
08/01/2022,20,MD187471564GB,
08/01/2022,21,1ZF511F96804289571,
08/01/2022,22,WU322600543GB,
08/01/2022,23,%0SE83PR15505227987622811826,
08/01/2022,24,%0SE83PR15505227989408811826,
08/01/2022,25,T002VA0427908532,
08/01/2022,26,T002VA0425217256,
08/01/2022,27,KB869762508GB,
08/01/2022,28,L10023111011691233,
08/01/2022,29,WD375152250GB,
08/01/2022,30,WD412745104GB,
08/01/2022,31,AF066623536GB,
08/01/2022,32,PBIG9171869001,
08/01/2022,33,%0SE83PR15501857005662812826,
08/01/2022,34,]C100000994460066444253,
08/01/2022,35,15505169074614,
08/01/2022,36,15505169074620,
08/01/2022,37,H01QFA0002156384,
08/01/2022,38,15505453079076,
08/01/2022,39,T00D4A1507853921,
08/01/2022,40,PBTG7477041001,
08/01/2022,41,C00HHA0128666923,
08/01/2022,42,SE132630955GB,
08/01/2022,43,QA1879279602,
08/01/2022,44,0216B42C0250EE24,
08/01/2022,45,1 KIỆN K CÓ SỐ TRACKING,MUK QUAN HUONG  HN
08/01/2022,46,0212A57003285ECE,
08/01/2022,47,1 KIỆN K CÓ SỐ TRACKING,MUK QUAN HUONG  HN
08/01/2022,48,1106E0A9586,MUK QUAN HUONG  HN
08/01/2022,49,021445D4019EBB51,
08/01/2022,50,213513902823261,
09/01/2022,51,SM036264667GB,
09/01/2022,52,15505169075378,
10/01/2022,53,019840334021604934,
10/01/2022,54,019840421021597727,
10/01/2022,55,019840225321899387,
10/01/2022,56,019840527721085322,
10/01/2022,57,019920230221313263,
10/01/2022,58,019840500622810767,
10/01/2022,59,2814136,
10/01/2022,60,3 kiện không tracking,MUK PHUONG HN
10/01/2022,61,WU595585723GB,
10/01/2022,62,SM036248620GB,
10/01/2022,63,H01NFA0031085056,
10/01/2022,64,WL459991553GB,
10/01/2022,65,TQ071082541GB,
10/01/2022,66,JH044903582GB,
10/01/2022,67,WD268242310GB,
10/01/2022,68,02163A8F028C0959,
10/01/2022,69,T00P0A0020282354,
10/01/2022,70,T00B8A0063796154,
10/01/2022,71,T002VA0428635053,
10/01/2022,72,T00P0A0020221964,
10/01/2022,73,T00PLA0099210718,
10/01/2022,74,T00D7A0096421580,
10/01/2022,75,T00PLA0099286109,
10/01/2022,76,T002VA0431071002,
10/01/2022,77,T00P0A0020177135,
10/01/2022,78,T00P0A0020205491,
10/01/2022,79,T00IKA0016024258,
10/01/2022,80,T00KMA0171124494,
10/01/2022,81,T00P0A0020234202,
10/01/2022,82,%0SE83PR15976661711436831826,
10/01/2022,83,15505453080553,
10/01/2022,84,15505453079834,
10/01/2022,85,21082412961600100012,
10/01/2022,86,21082360524800100039,
10/01/2022,87,1010095740630966702400775654544280,
10/01/2022,88,6053053020128319284698001605,
10/01/2022,89,QA1886811632,
10/01/2022,90,QA1886384591,
10/01/2022,91,QB0163482328,
11/01/2022,92,%0SE83PR15503384851082832826,
11/01/2022,93,15505169077126,
11/01/2022,94,T00BIA0010876648,
11/01/2022,95,VB700987645GB,
11/01/2022,96,15505169078106,
11/01/2022,97,15505169077942,
11/01/2022,98,15505169076582,
11/01/2022,99,MD187516977GB,
11/01/2022,100,MD187513715GB,
11/01/2022,101,MD187519430GB,
11/01/2022,102,WU957344325GB,
11/01/2022,103,FE105860432GB,
11/01/2022,104,FE105860959GB,
11/01/2022,105,SM016413781GB,
11/01/2022,106,SM016413818GB,
11/01/2022,107,SM016413821GB,
11/01/2022,108,SM016413795GB,
11/01/2022,109,T00P0A0020301229,
11/01/2022,110,T0047A0071316551,
11/01/2022,111,T002VA0432054552,
11/01/2022,112,%0SE85BZ15502148245286891826,
11/01/2022,113,WD074252885GB,
11/01/2022,114,PBZK0866546001,
12/01/2022,115,15505169079384,
12/01/2022,116,T00P0A0020305342,
12/01/2022,117,TZYDXA0010084551,
12/01/2022,118,SM016417559GB,
12/01/2022,119,SM016417647GB,
12/01/2022,120,SM016417616GB,
12/01/2022,121,T00E4A1089047659,
12/01/2022,122,SM016418041GB,
12/01/2022,123,SM016417718GB,
12/01/2022,124,SM016417695GB,
12/01/2022,125,T002VA0432054540,
12/01/2022,126,PV426417608GB,
12/01/2022,127,T00NWA0027134746,
12/01/2022,128,T00P0A0020337010,
12/01/2022,129,15505169079389,
12/01/2022,130,T00KMA0173091077,
12/01/2022,131,%0SE83PR15501909610744812826,
12/01/2022,132,1Z44V0F6DK46862189,
12/01/2022,133,1ZV827826895849927,
12/01/2022,134,%0SE83PR15502018534364812826,
12/01/2022,135,15505453082715,
12/01/2022,136,JJD000298402003269486,
12/01/2022,137,15505169079440,
12/01/2022,138,PBZK0893382001,
12/01/2022,139,PBZK0883751001,
12/01/2022,140,15505169079522,
12/01/2022,141,1Z95X72Y0496977732,
12/01/2022,142,BN095382877GB,
12/01/2022,143,BN540384850GB,
12/01/2022,144,UT017173265NL,
12/01/2022,145,15505453082443,
12/01/2022,146,1 KIỆN OANHOANH,Gửi tại kho
12/01/2022,147,0508ACCAA44,MUK QUAN HN
12/01/2022,148,0218B8DB010FA582,MUK THONG HN
12/01/2022,149,0508AB1F3D9,MUK QUAN HN
12/01/2022,150,JJD0002248427668403,
13/01/2022,151,%0SE83PR15503117013670811826,
13/01/2022,152,%0SE83PR15501909922826832826,
13/01/2022,153,1ZF511F96804432290,
13/01/2022,154,ƯU499656691GB,
13/01/2022,155,T00NWA0027258914,
13/01/2022,156,T00BIA0010977856,
13/01/2022,157,%0SE83PR15501950226422812826,
13/01/2022,158,T00D4A1508406379,
13/01/2022,159,T00KMA0174159438,
13/01/2022,160,T002VA0431686170,
13/01/2022,161,T002VA0435166829,
13/01/2022,162,FN218905152GB,
13/01/2022,163,MD187539108GB,
13/01/2022,164,C00HHA0133065128,
13/01/2022,165,T00KMA0172823334,
13/01/2022,166,PBTH2783433001,
13/01/2022,167,1 KIỆN VÂN UK,Gửi tại kho
13/01/2022,168,FY121188882GB,
13/01/2022,169,FY121188896GB,
13/01/2022,170,JJD0002247516412996,
13/01/2022,171,T002VA0436330336,
13/01/2022,172,T00KMA0173259807,
13/01/2022,173,T00KMA0173930813,
13/01/2022,174,T00KMA0171785002,
13/01/2022,175,T002VA0435166817,
13/01/2022,176,T002VA0437681140,
13/01/2022,177,T00B8A0064659941,
13/01/2022,178,T002VA0436330324,
13/01/2022,179,TZYDYA0031765514,
13/01/2022,180,02164B2A010BF980,CINDY SG
13/01/2022,181,JJD0002247792219910,
13/01/2022,182,JJD0002247516414083,
13/01/2022,183,QA1896160492,
14/01/2022,184,PBTH3025338001,
14/01/2022,185,WD357993488GB,
14/01/2022,186,MA033217022GB,
14/01/2022,187,JF412006085GB,
14/01/2022,188,MD627546272GB,
14/01/2022,189,H0067A0047347314,
14/01/2022,190,T002VA0438247723,
14/01/2022,191,T002VA0438247735,
14/01/2022,192,C00HHA0133184118,
14/01/2022,193,PBTH3365138001,
14/01/2022,194,T002VA0434680830,
14/01/2022,195,T00P0A0020530717,
14/01/2022,196,T002VA0437660196,
14/01/2022,197,240812989527,MUK THONG
14/01/2022,198,HQ37385,MUK QUAN
14/01/2022,199,0508AEDAB50,MUK QUAN
14/01/2022,200,0212B49F041D15CA,MUK THONG
14/01/2022,201,ƯD203985534GB,
14/01/2022,202,ƯD387141387GB,
14/01/2022,203,1 KIỆN MUK PHUONG HN,
14/01/2022,204,%0SE83PR15503750431520812826,
15/01/2022,205,PBTH3025355001,
15/01/2022,206,QA1897813174,
15/01/2022,207,QA1895433442,
15/01/2022,208,QA1898113812,
15/01/2022,209,JJD000298402003271262,
15/01/2022,210,1010095741850966702400288646503027,
15/01/2022,211,SN211383496GB,
15/01/2022,212,PBTH3366031001,
15/01/2022,213,PBTH3025196001,
15/01/2022,214,WD450447260GB,
15/01/2022,215,%0SE83PR04361199577850101904,
15/01/2022,216,T002VA0438742242,
15/01/2022,217,T002VA0439391503,
15/01/2022,218,T002VA0438742278,
15/01/2022,219,T002VA0438742266,
